Response ID,Helpfulness Rating,Inaccurate Flag,Relevance Rating,Satisfaction Rating
response_001,3,True,3,3
response_002,4,True,4,3
response_003,4,True,3,3
response_004,3,True,4,3
response_005,4,True,3,3
response_006,3,False,3,3
response_007,3,False,3,2
response_008,3,True,3,3
response_009,1,True,2,1
response_010,3,True,2,3
response_011,3,True,2,3
response_012,4,False,4,3
response_013,3,False,3,3
response_014,4,False,3,4
response_015,1,True,1,2
response_016,4,False,3,3
response_017,3,False,4,5
response_018,1,True,2,2
response_019,2,True,1,1
response_020,1,True,1,1
response_021,2,True,1,2
response_022,5,False,4,5
response_023,3,False,4,4
response_024,2,True,1,2
response_025,4,False,3,3
